algorithm,array_type,n,time_ms,char_cmps
MSD Radix Sort,reverse_sorted,2500,3.07013,6059
MSD Radix + TStrQSort,reverse_sorted,2500,0.99955,11665
QuickSort (std),reverse_sorted,2600,3.17237,62537
MergeSort (std),reverse_sorted,2600,4.24536,21801
Ternary String QSort,reverse_sorted,2600,1.28391,24525
String MergeSort (LCP),reverse_sorted,2600,7.09571,17389
MSD Radix Sort,reverse_sorted,2600,3.18962,6297
MSD Radix + TStrQSort,reverse_sorted,2600,1.05083,12114
QuickSort (std),reverse_sorted,2700,3.58751,75078
MergeSort (std),reverse_sorted,2700,4.38305,22656
Ternary String QSort,reverse_sorted,2700,1.37287,25919
String MergeSort (LCP),reverse_sorted,2700,7.40603,18090
MSD Radix Sort,reverse_sorted,2700,3.31423,6542
MSD Radix + TStrQSort,reverse_sorted,2700,1.08495,12592
QuickSort (std),reverse_sorted,2800,4.00789,90935
MergeSort (std),reverse_sorted,2800,4.58785,23836
Ternary String QSort,reverse_sorted,2800,1.40806,26753
String MergeSort (LCP),reverse_sorted,2800,7.68758,18859
MSD Radix Sort,reverse_sorted,2800,3.46838,6784
MSD Radix + TStrQSort,reverse_sorted,2800,1.11156,13039
QuickSort (std),reverse_sorted,2900,4.45816,103433
MergeSort (std),reverse_sorted,2900,4.7742,24698
Ternary String QSort,reverse_sorted,2900,1.45699,27965
String MergeSort (LCP),reverse_sorted,2900,8.00145,19616
MSD Radix Sort,reverse_sorted,2900,3.5631,7032
MSD Radix + TStrQSort,reverse_sorted,2900,1.16037,13526
QuickSort (std),reverse_sorted,3000,4.83431,113756
MergeSort (std),reverse_sorted,3000,4.96388,25792
Ternary String QSort,reverse_sorted,3000,1.51701,29045
String MergeSort (LCP),reverse_sorted,3000,8.33801,20450
MSD Radix Sort,reverse_sorted,3000,3.7039,7280
MSD Radix + TStrQSort,reverse_sorted,3000,1.19884,14020
QuickSort (std),nearly_sorted,100,0.0747084,1790
MergeSort (std),nearly_sorted,100,0.120725,685
Ternary String QSort,nearly_sorted,100,0.0326498,579
String MergeSort (LCP),nearly_sorted,100,0.2005,477
MSD Radix Sort,nearly_sorted,100,0.1252,242
MSD Radix + TStrQSort,nearly_sorted,100,0.0322666,579
QuickSort (std),nearly_sorted,200,0.196492,4711
MergeSort (std),nearly_sorted,200,0.266742,1564
Ternary String QSort,nearly_sorted,200,0.069325,1245
String MergeSort (LCP),nearly_sorted,200,0.449691,1180
MSD Radix Sort,nearly_sorted,200,0.249625,479
MSD Radix + TStrQSort,nearly_sorted,200,0.0810416,892
QuickSort (std),nearly_sorted,300,0.314575,7332
MergeSort (std),nearly_sorted,300,0.434825,2727
Ternary String QSort,nearly_sorted,300,0.113158,2092
String MergeSort (LCP),nearly_sorted,300,0.733358,2114
MSD Radix Sort,nearly_sorted,300,0.3499,713
MSD Radix + TStrQSort,nearly_sorted,300,0.124725,1402
QuickSort (std),nearly_sorted,400,0.419775,9898
MergeSort (std),nearly_sorted,400,0.606808,3740
Ternary String QSort,nearly_sorted,400,0.155325,2814
String MergeSort (LCP),nearly_sorted,400,1.0055,2986
MSD Radix Sort,nearly_sorted,400,0.4701,947
MSD Radix + TStrQSort,nearly_sorted,400,0.161234,1852
QuickSort (std),nearly_sorted,500,0.640883,15535
MergeSort (std),nearly_sorted,500,0.7528,4658
Ternary String QSort,nearly_sorted,500,0.202633,3657
String MergeSort (LCP),nearly_sorted,500,1.27421,3785
MSD Radix Sort,nearly_sorted,500,0.573333,1181
MSD Radix + TStrQSort,nearly_sorted,500,0.201225,2327
QuickSort (std),nearly_sorted,600,0.704408,16080
MergeSort (std),nearly_sorted,600,0.9515,6212
Ternary String QSort,nearly_sorted,600,0.24965,4552
String MergeSort (LCP),nearly_sorted,600,1.60549,5019
MSD Radix Sort,nearly_sorted,600,0.686317,1416
MSD Radix + TStrQSort,nearly_sorted,600,0.24225,2813
QuickSort (std),nearly_sorted,700,0.804808,18294
MergeSort (std),nearly_sorted,700,1.12862,7307
Ternary String QSort,nearly_sorted,700,0.306883,5747
String MergeSort (LCP),nearly_sorted,700,1.89061,5937
MSD Radix Sort,nearly_sorted,700,0.821158,1660
MSD Radix + TStrQSort,nearly_sorted,700,0.281875,3292
QuickSort (std),nearly_sorted,800,0.915866,20761
MergeSort (std),nearly_sorted,800,1.30703,8542
Ternary String QSort,nearly_sorted,800,0.365542,6965
String MergeSort (LCP),nearly_sorted,800,2.20224,6967
MSD Radix Sort,nearly_sorted,800,0.950758,1899
MSD Radix + TStrQSort,nearly_sorted,800,0.321425,3771
QuickSort (std),nearly_sorted,900,1.07306,24890
MergeSort (std),nearly_sorted,900,1.48287,9650
Ternary String QSort,nearly_sorted,900,0.397958,7431
String MergeSort (LCP),nearly_sorted,900,2.50162,7922
MSD Radix Sort,nearly_sorted,900,1.05632,2134
MSD Radix + TStrQSort,nearly_sorted,900,0.360625,4221
QuickSort (std),nearly_sorted,1000,1.30842,30930
MergeSort (std),nearly_sorted,1000,1.65009,10662
Ternary String QSort,nearly_sorted,1000,0.455383,8577
String MergeSort (LCP),nearly_sorted,1000,2.78612,8832
MSD Radix Sort,nearly_sorted,1000,1.1911,2382
MSD Radix + TStrQSort,nearly_sorted,1000,0.405917,4732
QuickSort (std),nearly_sorted,1100,1.463,35107
MergeSort (std),nearly_sorted,1100,1.85627,12170
Ternary String QSort,nearly_sorted,1100,0.500408,9126
String MergeSort (LCP),nearly_sorted,1100,3.13999,10039
MSD Radix Sort,nearly_sorted,1100,1.31541,2618
MSD Radix + TStrQSort,nearly_sorted,1100,0.443675,5211
QuickSort (std),nearly_sorted,1200,1.57808,37122
MergeSort (std),nearly_sorted,1200,2.04934,13674
Ternary String QSort,nearly_sorted,1200,0.555133,10199
String MergeSort (LCP),nearly_sorted,1200,3.48408,11090
MSD Radix Sort,nearly_sorted,1200,1.40732,2855
MSD Radix + TStrQSort,nearly_sorted,1200,0.487666,5712
QuickSort (std),nearly_sorted,1300,1.64057,38563
MergeSort (std),nearly_sorted,1300,2.22178,14779
Ternary String QSort,nearly_sorted,1300,0.6011,11431
String MergeSort (LCP),nearly_sorted,1300,3.74293,12001
MSD Radix Sort,nearly_sorted,1300,1.52936,3097
MSD Radix + TStrQSort,nearly_sorted,1300,0.533808,6180
QuickSort (std),nearly_sorted,1400,1.81322,43263
MergeSort (std),nearly_sorted,1400,2.41722,16052
Ternary String QSort,nearly_sorted,1400,0.6381,12078
String MergeSort (LCP),nearly_sorted,1400,4.05017,13089
MSD Radix Sort,nearly_sorted,1400,1.67927,3344
MSD Radix + TStrQSort,nearly_sorted,1400,0.580792,6656
QuickSort (std),nearly_sorted,1500,1.87713,42810
MergeSort (std),nearly_sorted,1500,2.62515,17192
Ternary String QSort,nearly_sorted,1500,0.721058,13439
String MergeSort (LCP),nearly_sorted,1500,4.3971,14019
MSD Radix Sort,nearly_sorted,1500,1.80987,3591
MSD Radix + TStrQSort,nearly_sorted,1500,0.609375,7121
QuickSort (std),nearly_sorted,1600,2.0615,48926
MergeSort (std),nearly_sorted,1600,2.81603,18659
Ternary String QSort,nearly_sorted,1600,0.774984,14590
String MergeSort (LCP),nearly_sorted,1600,4.70984,15274
MSD Radix Sort,nearly_sorted,1600,1.9208,3825
MSD Radix + TStrQSort,nearly_sorted,1600,0.651592,7607
QuickSort (std),nearly_sorted,1700,2.16957,52125
MergeSort (std),nearly_sorted,1700,3.0163,20193
Ternary String QSort,nearly_sorted,1700,0.830567,15707
String MergeSort (LCP),nearly_sorted,1700,5.04044,16464
MSD Radix Sort,nearly_sorted,1700,2.03602,4069
MSD Radix + TStrQSort,nearly_sorted,1700,0.692875,8093
QuickSort (std),nearly_sorted,1800,2.39309,55844
MergeSort (std),nearly_sorted,1800,3.22099,21229
Ternary String QSort,nearly_sorted,1800,0.8579,16144
String MergeSort (LCP),nearly_sorted,1800,5.32605,17225
MSD Radix Sort,nearly_sorted,1800,2.15973,4312
MSD Radix + TStrQSort,nearly_sorted,1800,0.725717,8580
QuickSort (std),nearly_sorted,1900,2.42879,57427
MergeSort (std),nearly_sorted,1900,3.38681,22834
Ternary String QSort,nearly_sorted,1900,0.925575,17707
String MergeSort (LCP),nearly_sorted,1900,5.65831,18609
MSD Radix Sort,nearly_sorted,1900,2.26496,4547
MSD Radix + TStrQSort,nearly_sorted,1900,0.769133,9052
QuickSort (std),nearly_sorted,2000,2.61478,61701
MergeSort (std),nearly_sorted,2000,3.53807,23597
Ternary String QSort,nearly_sorted,2000,0.963867,18515
String MergeSort (LCP),nearly_sorted,2000,5.95739,19313
MSD Radix Sort,nearly_sorted,2000,2.35991,4784
MSD Radix + TStrQSort,nearly_sorted,2000,0.809434,9533
QuickSort (std),nearly_sorted,2100,2.92915,67943
MergeSort (std),nearly_sorted,2100,3.75236,24943
Ternary String QSort,nearly_sorted,2100,1.03905,19552
String MergeSort (LCP),nearly_sorted,2100,6.30942,20385
MSD Radix Sort,nearly_sorted,2100,2.52777,5045
MSD Radix + TStrQSort,nearly_sorted,2100,0.85475,10036
QuickSort (std),nearly_sorted,2200,2.98072,70231
MergeSort (std),nearly_sorted,2200,3.96131,26880
Ternary String QSort,nearly_sorted,2200,1.07875,20504
String MergeSort (LCP),nearly_sorted,2200,6.64024,21971
MSD Radix Sort,nearly_sorted,2200,2.65177,5292
MSD Radix + TStrQSort,nearly_sorted,2200,0.902308,10541
QuickSort (std),nearly_sorted,2300,3.25387,77096
MergeSort (std),nearly_sorted,2300,4.16833,28006
Ternary String QSort,nearly_sorted,2300,1.11583,21280
String MergeSort (LCP),nearly_sorted,2300,6.98103,22552
MSD Radix Sort,nearly_sorted,2300,2.75956,5529
MSD Radix + TStrQSort,nearly_sorted,2300,0.9429,11059
QuickSort (std),nearly_sorted,2400,3.22029,74545
MergeSort (std),nearly_sorted,2400,4.41945,29778
Ternary String QSort,nearly_sorted,2400,1.18965,22716
String MergeSort (LCP),nearly_sorted,2400,7.36268,24011
MSD Radix Sort,nearly_sorted,2400,2.88949,5775
MSD Radix + TStrQSort,nearly_sorted,2400,0.986058,11562
QuickSort (std),nearly_sorted,2500,3.43016,82543
MergeSort (std),nearly_sorted,2500,4.59986,31188
Ternary String QSort,nearly_sorted,2500,1.24668,23529
String MergeSort (LCP),nearly_sorted,2500,7.66132,25084
MSD Radix Sort,nearly_sorted,2500,3.00981,6025
MSD Radix + TStrQSort,nearly_sorted,2500,1.02707,12051
QuickSort (std),nearly_sorted,2600,3.40727,80050
MergeSort (std),nearly_sorted,2600,4.79729,32658
Ternary String QSort,nearly_sorted,2600,1.30659,24592
String MergeSort (LCP),nearly_sorted,2600,8.01265,26331
MSD Radix Sort,nearly_sorted,2600,3.19377,6274
MSD Radix + TStrQSort,nearly_sorted,2600,1.07002,12537
QuickSort (std),nearly_sorted,2700,3.58243,85224
MergeSort (std),nearly_sorted,2700,4.98088,33621
Ternary String QSort,nearly_sorted,2700,1.35734,25668
String MergeSort (LCP),nearly_sorted,2700,8.27178,26850
MSD Radix Sort,nearly_sorted,2700,3.25657,6520
MSD Radix + TStrQSort,nearly_sorted,2700,1.10313,13025
QuickSort (std),nearly_sorted,2800,3.7584,90072
